*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=led_grid
*Date=01:02:37
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
446;;5050;146.028;-49.8037;0;Top;RGB SMD LED170
447;;;156.185;-119.545;0;Bottom;Copper Fill300
448;;;54.4607;-40.6588;0;Bottom;Via84
449;;5050;176.091;-78.8325;0;Top;RGB SMD LED156
450;;;175.997;-59.322;0;Bottom;Copper Fill395
451;;;137.711;-119.435;0;Bottom;Via127
452;;5050;26.0202;-58.7905;0;Top;RGB SMD LED97
453;;;135.995;-78.2455;0;Bottom;Via352
454;;;166.091;-79.3118;0;Bottom;Copper Fill364
455;;5050;46.0623;-108.777;0;Top;RGB SMD LED76
456;;sot23-3;15.7889;-130.364;-90;Top;Q2
457;;;84.4482;-59.2931;0;Bottom;Via415
458;;;136.144;-139.408;0;Bottom;Copper Fill270
459;;;64.3963;-40.8527;0;Bottom;Via76
460;;;164.475;-99.2358;0;Bottom;Via209
461;;;146.025;-40.3228;0;Bottom;Copper Fill433
462;;;136.119;-129.375;0;Bottom;Copper Fill283
463;;5050;86.1387;-138.814;0;Top;RGB SMD LED7
464;;;146.099;-67.7951;0;Bottom;Via338
